"","MATRICULA","Category","CIERVO","GAMO","CORZO","MUFLON","CABRA","JABALI","ARRUI","CERRAMIENT","ten_cier","ten_gamo","ten_corz","ten_mufl","ten_cabr","ten_jaba","ten_arru","CIERVO_d","GAMO_d","CORZO_d","MUFLON_d","CABRA_d","JABALI_d","ARRUI_d","ag_cluster","a47_k4","Clasificac","area_nueva","area","Hg","minId","maxId","Axis1","Axis2","Axis3","cover","areaS"
"11","AB-10023","AB-10023","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4890260.241,5,493,2349,2350,-0.998304566085254,0.008753785052004,0.331221403774298,-0.919373869895935,-0.495788771855069
"12","AB-10024","AB-10024","0","0","0","0","0",7,"0",0,"0","0","0","0","0","-0.105452839899559","0","0","0","0","0","0","0.472715381099146","0","1","2","Grupo 1",14808064.85,15,494,2351,2353,-0.998304566085254,0.008753785052004,0.331221403774298,-0.409099653363228,-0.056292080633091
"13","AB-10025","AB-10025","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4573246.199,5,495,2354,2354,-0.998304566085254,0.008753785052004,0.331221403774298,-0.434950118705419,-0.495788771855069
"14","AB-10027","AB-10027","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4869713.786,5,496,2355,2355,-0.998304566085254,0.008753785052004,0.331221403774298,-1.14867431673999,-0.495788771855069
"15","AB-10030","AB-10030","0","0","0","0","0",4,"0",0,"0","0","0","0","0","0.22344203139557","0","0","0","0","0","0","0.719470104986767","0","1","2","Grupo 1",5559647.118,6,499,2359,2360,-0.998304566085254,0.008753785052004,0.331221403774298,-0.302708521485329,-0.451839102732871
"16","AB-10031","AB-10031","0","0","0","0","0",7,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","0.914264203626799","0","3","4","Grupo 2",7656429.58,8,500,2361,2363,-0.998304566085254,0.008753785052004,0.331221403774298,0.538205636044343,-0.363939764488475
"17","AB-10033","AB-10033","0","0","0","0","0",15,"0",1,"0","0","0","0","0","-0.431119131359821","0","0","0","0","0","0","1.95955545114313","0","4","4","Grupo 6",7654797.127,8,501,2364,2365,-0.998304566085254,0.008753785052004,0.331221403774298,0.914900779724121,-0.363939764488475
"18","AB-10034","AB-10034","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4425183.463,4,502,2366,2366,-0.998304566085254,0.008753785052004,0.331221403774298,-1.26586259937447,-0.539738440977266
"19","AB-10036","AB-10036","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",12810793.42,13,504,2368,2369,-0.998304566085254,0.008753785052004,0.331221403774298,1.38113495707512,-0.144191418877487
"20","AB-10038","AB-10038","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",6582185.174,7,506,2370,2370,-0.998304566085254,0.008753785052004,0.331221403774298,-1.37264142459126,-0.407889433610673
"21","AB-10039","AB-10039","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",7766861.557,8,507,2371,2372,-0.998304566085254,0.008753785052004,0.331221403774298,-0.139896750450134,-0.363939764488475
"22","AB-10042","AB-10042","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",6217073.271,6,509,2374,2374,-0.998304566085254,0.008753785052004,0.331221403774298,-1.61883490402353,-0.451839102732871
"23","AB-10043","AB-10043","0","0","0","0","0",7,"0",0,"0","0","0","0","0","0.448903986449903","0","0","0","0","0","0","1.62094087964907","0","3","2","Grupo 2",4318479.345,4,510,2375,2375,-0.998304566085254,0.008753785052004,0.331221403774298,-0.466125975215763,-0.539738440977266
"24","AB-10044","AB-10044","0","0","0","0","0",8,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","1.30876872463962","0","3","2","Grupo 2",6112615.409,6,511,2376,2377,-0.998304566085254,0.008753785052004,0.331221403774298,0.729782357811928,-0.451839102732871
"25","AB-10046","AB-10046","0","0","0","0","0",12,"0",0,"0","0","0","0","0","0.469744468643492","0","0","0","0","0","0","1.08704061870671","0","3","2","Grupo 2",11039145.78,11,513,2378,2379,-0.998304566085254,0.008753785052004,0.331221403774298,-0.572372242808342,-0.232090757121882
"26","AB-10051","AB-10051","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",11284454.36,11,517,2380,2383,-0.998304566085254,0.008753785052004,0.331221403774298,-0.965130358934402,-0.232090757121882
"27","AB-10052","AB-10052","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",10271864.88,10,518,2384,2387,-0.998304566085254,0.008753785052004,0.331221403774298,-1.08578851819038,-0.27604042624408
"28","AB-10053","AB-10053","29","0","0","0","0",17,"0",0,"0.469744468643492","0","0","0","0","0.469744468643492","0","0.373573022724465","0","0","0","0","0.218991082286755","0","2","2","Grupo 5",77628731.98,78,519,2388,2409,-0.309110697222473,-0.390778030285159,0.354058018630401,0.111434597014026,2.71253707406537
"29","AB-10055","AB-10055","0","0","0","0","0",9,"0",0,"0","0","0","0","0","0.469744468643492","0","0","0","0","0","0","1.38817123649322","0","3","2","Grupo 2",6483349.986,6,520,2410,2411,-0.998304566085254,0.008753785052004,0.331221403774298,0.407151415944099,-0.451839102732871
"30","AB-10056","AB-10056","6","0","0","0","0",49,"0",0,"0.469744468643492","0","0","0","0","0.0879814951084734","0","0.357186031791839","0","0","0","0","2.91701925963335","0","2","2","Grupo 5",16797969.3,17,521,2412,2415,-0.309672329496505,-0.392398924646257,0.354894927700592,0.276618592441082,0.031607257611305
"31","AB-10057","AB-10057","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",12491877.93,12,522,2416,2417,-0.998304566085254,0.008753785052004,0.331221403774298,-0.188936769962311,-0.188141087999684
"32","AB-10058","AB-10058","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5075112.333,5,523,2418,2418,-0.998304566085254,0.008753785052004,0.331221403774298,-0.750141231480458,-0.495788771855069
"33","AB-10060","AB-10060","0","0","0","0","0",8,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","1.03817218948562","0","3","4","Grupo 2",7705850.719,8,525,2420,2421,-0.998304566085254,0.008753785052004,0.331221403774298,0.968581333756447,-0.363939764488475
"34","AB-10061","AB-10061","0","0","0","0","0",3,"0",0,"0","0","0","0","0","0.469744468643492","0","0","0","0","0","0","0.295665965076299","0","3","2","Grupo 2",10146585.5,10,526,2422,2424,-0.998304566085254,0.008753785052004,0.331221403774298,-0.817195902268092,-0.27604042624408
"35","AB-10062","AB-10062","0","0","0","0","0",8,"0",0,"0","0","0","0","0","0.496408571402646","0","0","0","0","0","0","0.935186858630631","0","3","2","Grupo 2",8554440.147,9,527,2425,2426,-0.998304566085254,0.008753785052004,0.331221403774298,-0.135716868564487,-0.319990095366278
"36","AB-10064","AB-10064","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",16811938.19,17,529,2427,2430,-0.998304566085254,0.008753785052004,0.331221403774298,-0.30194865167141,0.031607257611305
"37","AB-10067","AB-10067","0","0","0","0","0",8,"0",0,"0","0","0","0","0","-0.795807505827774","0","0","0","0","0","0","0.980818210470568","0","1","2","Grupo 1",8156455.51,8,531,2433,2434,-0.998304566085254,0.008753785052004,0.331221403774298,-1.00184550881386,-0.363939764488475
"38","AB-10069","AB-10069","3","0","0","5","138",278,"0",0,"0.278012032462475","0","0","0.278012032462475","0.278836146546864","-0.331233683301933","0","0.00704901885503096","0","0","0.0117483647583849","0.324254867331424","0.653209080566202","0","5","2","Grupo 7",425591144.6,426,532,2435,2535,1.1645395044344,0.398535156127564,2.6333705356729,0.372773807378308,18.0070219285902
"39","AB-10070","AB-10070","0","0","0","0","0",0,"0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","Grupo 6",9555689.976,10,533,2536,2537,-0.998304566085254,0.008753785052004,0.331221403774298,0.476372711360455,-0.27604042624408
"40","AB-10071","AB-10071","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",8346347.074,8,534,2538,2541,-0.998304566085254,0.008753785052004,0.331221403774298,-1.07569878501818,-0.363939764488475
"41","AB-10072","AB-10072","0","0","0","0","0",4,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","0.565279820291576","0","3","4","Grupo 2",7076141.349,7,535,2542,2542,-0.998304566085254,0.008753785052004,0.331221403774298,0.09561445743191,-0.407889433610673
"42","AB-10073","AB-10073","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",6016225.199,6,536,2543,2544,-0.998304566085254,0.008753785052004,0.331221403774298,0.20856649428606,-0.451839102732871
"43","AB-10075","AB-10075","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",10754648.18,11,538,2545,2546,-0.998304566085254,0.008753785052004,0.331221403774298,-1.31236624717712,-0.232090757121882
"44","AB-10076","AB-10076","0","0","0","0","0",0,"0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","Grupo 6",10438387.03,10,539,2547,2550,-0.998304566085254,0.008753785052004,0.331221403774298,-0.803668688982725,-0.27604042624408
"45","AB-10078","AB-10078","0","0","0","0","0",28,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","5.83700774308408","0","3","2","Grupo 2",4796978.466,5,540,2551,2552,-0.998304566085254,0.008753785052004,0.331221403774298,0.422926098108292,-0.495788771855069
"46","AB-10080","AB-10080","0","0","0","0","0",30,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","2.10930523357587","0","3","2","Grupo 2",14222692.58,14,541,2553,2555,-0.998304566085254,0.008753785052004,0.331221403774298,0.057133853435516,-0.100241749755289
"47","AB-10081","AB-10081","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",7779525.59,8,542,2556,2557,-0.998304566085254,0.008753785052004,0.331221403774298,-1.27726072072983,-0.363939764488475
"48","AB-10085","AB-10085","0","0","0","0","0",7,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","0.734177160104017","0","3","2","Grupo 2",9534483.407,10,545,2560,2561,-0.998304566085254,0.008753785052004,0.331221403774298,-1.67407888174057,-0.27604042624408
"49","AB-10086","AB-10086","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",18978570.29,19,546,2562,2566,-0.998304566085254,0.008753785052004,0.331221403774298,-0.529259121417999,0.1195065958557
"50","AB-10087","AB-10087","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5608264.4,6,547,2567,2568,-0.998304566085254,0.008753785052004,0.331221403774298,-1.53132712841034,-0.451839102732871
"51","AB-10089","AB-10089","1","0","0","0","16",12,"0",0,"0.278012032462475","0","0","0","0.278012032462475","0.278012032462475","0","0.0992101744081631","0","0","0","1.58736279053061","1.19052209289796","0","5","2","Grupo 7",10079611.46,10,548,2569,2571,2.1313905490088,2.19945075460331,4.85222814546024,1.89018162091573,-0.27604042624408
"52","AB-10091","AB-10091","2","0","0","0","21",23,"0",0,"0.731280566391035","0","0","0","0.333318156293152","-0.544880306384051","0","0.292353110478845","0","0","0","3.06970766002787","3.36206077050671","0","5","2","Grupo 7",6841042.57,7,550,2572,2573,4.75896231746358,3.87263893415443,8.21057684413276,1.49097555875778,-0.407889433610673
"53","AB-10092","AB-10092","0","0","0","0","0",11,"0",0,"0","0","0","0","0","0.0986713652845216","0","0","0","0","0","0","2.35816021580224","0","1","2","Grupo 1",4664653.497,5,551,2574,2574,-0.998304566085254,0.008753785052004,0.331221403774298,0.945540762896412,-0.495788771855069
"54","AB-10094","AB-10094","0","0","0","0","2",20,"0",0,"0","0","0","0","0.480594392143027","0.433306769999016","0","0","0","0","0","0.220157259748451","2.20157259748451","0","5","2","Grupo 7",9084415.696,9,552,2575,2575,0.628879952720825,0.785338776175846,2.85011793168008,1.73410630861276,-0.319990095366278
"55","AB-10098","AB-10098","0","0","0","0","0",7,"0",0,"0","0","0","0","0","0.267541670630866","0","0","0","0","0","0","0.375006113805032","0","3","2","Grupo 2",18666362.49,19,553,2576,2579,-0.998304566085254,0.008753785052004,0.331221403774298,1.8235767185688,0.1195065958557
"56","AB-10100","AB-10100","1","2","0","0","0",4,"0",0,"0.469744468643491","0.469744468643491","0","0","0","-0.00958662180905085","0","0.179165930723943","0.358331861447886","0","0","0","0.716663722895772","0","1","3","Grupo 1",5581418.353,6,554,2580,2580,0.766217997694016,-0.560587132576778,0.693247679725188,1.95475534467014,-0.451839102732871
"57","AB-10103","AB-10103","10","7","0","0","0",0,"0",0,"0.469744468643491","0.469744468643491","0","0","0","0","0","0.487874964738288","0.341512475316802","0","0","0","0","0","1","3","Grupo 1",20497054.87,20,555,2581,2586,0.775445925826064,-0.53349440384389,0.677784273468954,1.88410689433416,0.163456264977898
"58","AB-10105","AB-10105","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5569360.103,6,556,2587,2588,-0.998304566085254,0.008753785052004,0.331221403774298,-0.966309279203415,-0.451839102732871
"59","AB-10106","AB-10106","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",8134078.909,8,557,2589,2590,-0.998304566085254,0.008753785052004,0.331221403774298,-1.28052464127541,-0.363939764488475
"60","AB-10107","AB-10107","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",11240950.34,11,558,2591,2594,-0.998304566085254,0.008753785052004,0.331221403774298,-0.782201760099269,-0.232090757121882
"61","AB-10109","AB-10109","0","0","0","0","0",2,"0",0,"0","0","0","0","0","0.373878250552983","0","0","0","0","0","0","0.0949098064658735","0","3","2","Grupo 2",21072638.4,21,560,2596,2602,-0.998304566085254,0.008753785052004,0.331221403774298,-0.555851201925959,0.207405934100096
"62","AB-10110","AB-10110","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",15126285.22,15,561,2603,2606,-0.998304566085254,0.008753785052004,0.331221403774298,-1.38867695629597,-0.056292080633091
"63","AB-10113","AB-10113","15","0","0","0","0",6,"0",0,"0.629769892811968","0","0","0","0","0.373878250552983","0","3.32814866494669","0","0","0","0","1.33125946597868","0","2","2","Grupo 5",4507010.387,5,562,2607,2607,0.022574062372719,-0.247225148292334,0.217442413812575,0.555899764268728,-0.495788771855069
"64","AB-10114","AB-10114","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",8098423.462,8,563,2608,2609,-0.998304566085254,0.008753785052004,0.331221403774298,1.55804097652435,-0.363939764488475
"65","AB-10115","AB-10115","0","0","0","0","3",21,"0",0,"0","0","0","0","0.0862795962814576","0.583756594337567","0","0","0","0","0","0.242489075283164","1.69742352698215","0","5","4","Grupo 7",12371691.35,12,564,2610,2613,-0.458079262467502,0.424810816823161,1.20661724747704,0.626134812831879,-0.188141087999684
"66","AB-10116","AB-10116","3","0","0","0","0",4,"0",0,"0.469744468643492","0","0","0","0","-0.0143799327135763","0","0.618300605764437","0","0","0","0","0.824400807685916","0","1","2","Grupo 1",4852008.909,5,565,2614,2615,-0.300723134823355,-0.366571172480364,0.341559400988277,0.39198225736618,-0.495788771855069
"67","AB-10120","AB-10120","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",9286930.699,9,567,2617,2617,-0.998304566085254,0.008753785052004,0.331221403774298,0.627041086212874,-0.319990095366278
"68","AB-10122","AB-10122","0","0","0","0","0",20,"0",0,"0","0","0","0","0","0.599010997707746","0","0","0","0","0","0","2.78038182005953","0","3","2","Grupo 2",7193256.765,7,568,2618,2619,-0.998304566085254,0.008753785052004,0.331221403774298,0.47977240383625,-0.407889433610673
"69","AB-10123","AB-10123","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",6066566.123,6,569,2620,2621,-0.998304566085254,0.008753785052004,0.331221403774298,-0.222790371626616,-0.451839102732871
"70","AB-10124","AB-10124","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5731514.563,6,570,2622,2622,-0.998304566085254,0.008753785052004,0.331221403774298,0.279019096842236,-0.451839102732871
"71","AB-10125","AB-10125","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",7877935.831,8,571,2623,2625,-0.998304566085254,0.008753785052004,0.331221403774298,0.583559604982535,-0.363939764488475
"72","AB-10126","AB-10126","15","0","0","2","0",115,"0",0,"0.821991984460454","0","0","0.0862795962814576","0","0.0257919490522161","0","1.42429875612144","0","0","0.189906500816192","0","10.919623796931","0","2","2","Grupo 5",10531498.92,11,572,2626,2627,0.43627994234184,-0.566675780523535,0.441657546912827,0.910570383071899,-0.232090757121882
"73","AB-10128","AB-10128","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",70538880.54,71,574,2628,2647,-0.998304566085254,0.008753785052004,0.331221403774298,-1.0344437122345,2.40488939020998
"74","AB-10129","AB-10129","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5981961.241,6,575,2648,2648,-0.998304566085254,0.008753785052004,0.331221403774298,0.176899799751244,-0.451839102732871
"75","AB-10130","AB-10130","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",7516360.851,8,576,2649,2650,-0.998304566085254,0.008753785052004,0.331221403774298,-1.4698965549469,-0.363939764488475
"76","AB-10132","AB-10132","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4206266.462,4,578,2652,2653,-0.998304566085254,0.008753785052004,0.331221403774298,-1.13511064648628,-0.539738440977266
"77","AB-10133","AB-10133","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",9452449.936,9,579,2654,2656,-0.998304566085254,0.008753785052004,0.331221403774298,-0.918059706687927,-0.319990095366278
"78","AB-10136","AB-10136","0","0","0","0","0",40,"0",0,"0","0","0","0","0","0.370408954707304","0","0","0","0","0","0","5.23198780761629","0","3","2","Grupo 2",7645278.029,8,581,2657,2658,-0.998304566085254,0.008753785052004,0.331221403774298,0.660800039768219,-0.363939764488475
"79","AB-10137","AB-10137","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",9550884.359,10,582,2659,2661,-0.998304566085254,0.008753785052004,0.331221403774298,0.314898272355398,-0.27604042624408
"80","AB-10140","AB-10140","8","0","0","0","0",7,"0",0,"0.373878250552983","0","0","0","0","0.71743368707934","0","0.638483890886225","0","0","0","0","0.558673404525447","0","2","2","Grupo 5",12529681.68,13,583,2662,2665,-0.438070244874333,-0.275496564365391,0.33197441149284,-0.662480756640434,-0.144191418877487
"81","AB-10141","AB-10141","0","0","0","0","0",10,"0",0,"0","0","0","0","0","0.469744468643491","0","0","0","0","0","0","1.83643335364099","0","3","2","Grupo 2",5445337.812,5,584,2666,2666,-0.998304566085254,0.008753785052004,0.331221403774298,-0.341223278640313,-0.495788771855069
"82","AB-10142","AB-10142","212","3","0","78","0",30,"0",1,"-0.0206159715584025","0.182145814371966","0","-0.575653063903079","0","0.618151479477545","0","10.6956982142436","0.15135422001288","0","3.93520972033489","0","1.5135422001288","0","4","2","Grupo 6",19821052.98,20,585,2667,2670,-0.953001797822672,2.65482230210225,-1.27824035206084,1.0378990098834,0.163456264977898
"83","AB-10143","AB-10143","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4908800.095,5,586,2671,2672,-0.998304566085254,0.008753785052004,0.331221403774298,0.361009955406189,-0.495788771855069
"84","AB-10146","AB-10146","0","0","0","0","0",2,"0",0,"0","0","0","0","0","0.278012032462475","0","0","0","0","0","0","0.120469502225125","0","3","4","Grupo 2",16601712.27,17,587,2673,2677,-0.998304566085254,0.008753785052004,0.331221403774298,0.659191742539406,0.031607257611305
"85","AB-10147","AB-10147","0","0","0","0","0",15,"0",0,"0","0","0","0","0","0.278012032462475","0","0","0","0","0","0","0.478645622355816","0","3","4","Grupo 2",31338424.93,31,588,2678,2685,-0.998304566085254,0.008753785052004,0.331221403774298,0.47477581165731,0.646902625322073
"86","AB-10150","AB-10150","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",7406206.755,7,590,2687,2689,-0.998304566085254,0.008753785052004,0.331221403774298,-0.220026202499866,-0.407889433610673
"87","AB-10151","AB-10151","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5568831.483,6,591,2690,2691,-0.998304566085254,0.008753785052004,0.331221403774298,-1.07085776329041,-0.451839102732871
"88","AB-10152","AB-10152","0","0","0","0","0",17,"0",0,"0","0","0","0","0","0.469744468643492","0","0","0","0","0","0","2.45684205209649","0","3","2","Grupo 2",6919451.62,7,592,2692,2693,-0.998304566085254,0.008753785052004,0.331221403774298,0.263336982578039,-0.407889433610673
"89","AB-10154","AB-10154","0","0","0","0","0",14,"0",0,"0","0","0","0","0","0.722928205456549","0","0","0","0","0","0","2.53311849923979","0","3","4","Grupo 2",5526784.495,6,594,2694,2694,-0.998304566085254,0.008753785052004,0.331221403774298,0.832164438430481,-0.451839102732871
"90","AB-10156","AB-10156","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",13751898.44,14,595,2695,2696,-0.998304566085254,0.008753785052004,0.331221403774298,1.81720489263535,-0.100241749755289
"91","AB-10158","AB-10158","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",10973561.46,11,596,2697,2698,-0.998304566085254,0.008753785052004,0.331221403774298,0.881020218133926,-0.232090757121882
"92","AB-10159","AB-10159","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",5628277.593,6,597,2699,2699,-0.998304566085254,0.008753785052004,0.331221403774298,-0.635521884767042,-0.451839102732871
"93","AB-10162","AB-10162","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4843878.874,5,598,2700,2700,-0.998304566085254,0.008753785052004,0.331221403774298,1.44509346209003,-0.495788771855069
"94","AB-10163","AB-10163","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",4070965.525,4,599,2701,2701,-0.998304566085254,0.008753785052004,0.331221403774298,-0.04124582480806,-0.539738440977266
"95","AB-10164","AB-10164","0","0","0","0","0",3,"0",0,"0","0","0","0","0","0.519234963214441","0","0","0","0","0","0","0.404192110213634","0","3","2","Grupo 2",7422213.14,7,600,2702,2703,-0.998304566085254,0.008753785052004,0.331221403774298,-0.731189429759979,-0.407889433610673
"96","AB-10165","AB-10165","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",8631883.907,9,601,2704,2705,-0.998304566085254,0.008753785052004,0.331221403774298,-0.842653900384903,-0.319990095366278
"97","AB-10166","AB-10166","0","0","0","0","0",0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","Grupo 1",7291603.525,7,602,2706,2707,-0.998304566085254,0.008753785052004,0.331221403774298,-0.231319934129715,-0.407889433610673
